Requirement_1,Requirement_2,Conflict_Type,Mathematical_Expression
The bike should have a storage compartment for a full-size helmet.,The two-wheeler should use biodegradable materials where possible.,Performance Conflict,Constraint(The bike should have → The two-wheeler shou)
The engine design should prioritize performance over emission constraints.,Production costs should remain below market average for affordability.,Compliance Conflict,Constraint(The engine design sh → Production costs sho)
The braking system should use ABS for enhanced safety.,The engine design should prioritize performance over emission constraints.,Resource Conflict,Constraint(The braking system s → The engine design sh)
The display panel must be fully digital with GPS navigation.,The vehicle should be cost-effective and use affordable materials.,No Conflict,Constraint(The display panel mu → The vehicle should b)
The vehicle should support smart connectivity via Bluetooth and Wi-Fi.,The bike must have a top speed of 120 km/h.,Compliance Conflict,Constraint(The vehicle should s → The bike must have a)
The wheels should be spoked to maintain classic aesthetics.,The vehicle should be fully electric.,Regulatory Conflict,Constraint(The wheels should be → The vehicle should b)
The bike should support over-the-air (OTA) software updates.,The two-wheeler should use biodegradable materials where possible.,Resource Conflict,Constraint(The bike should supp → The two-wheeler shou)
The onboard computer should be minimal to reduce electronic dependencies.,The wheels should be spoked to maintain classic aesthetics.,No Conflict,Constraint(The onboard computer → The wheels should be)
The vehicle should be fully electric.,The vehicle design should be compact and lightweight.,Contradiction,Constraint(The vehicle should b → The vehicle design s)
The onboard computer should be minimal to reduce electronic dependencies.,The battery should use standard charging methods to maintain longevity.,Resource Conflict,Constraint(The onboard computer → The battery should u)
The engine should have a minimum power output of 25 HP.,The braking system should use ABS for enhanced safety.,Material Conflict,Constraint(The engine should ha → The braking system s)
The instrument cluster should use analog dials to reduce complexity.,The system should minimize power consumption for extended battery life.,Technology Conflict,Constraint(The instrument clust → The system should mi)
The vehicle design should be compact and lightweight.,Durability must be ensured for at least 10 years of use.,Sustainability Conflict,Constraint(The vehicle design s → Durability must be e)
The vehicle design should be compact and lightweight.,The two-wheeler should have a maximum curb weight of 120 kg.,Design Conflict,Constraint(The vehicle design s → The two-wheeler shou)
The braking system should use ABS for enhanced safety.,The vehicle design should be compact and lightweight.,Regulatory Conflict,Constraint(The braking system s → The vehicle design s)
The wheels should be spoked to maintain classic aesthetics.,The engine should have a fuel injection system for optimized combustion.,Regulatory Conflict,Constraint(The wheels should be → The engine should ha)
The bike should support over-the-air (OTA) software updates.,The two-wheeler must have a rearview camera for safety.,Regulatory Conflict,Constraint(The bike should supp → The two-wheeler must)
The two-wheeler should use biodegradable materials where possible.,The vehicle design should be compact and lightweight.,Technology Conflict,Constraint(The two-wheeler shou → The vehicle design s)
The vehicle should be fully electric.,The engine design should prioritize performance over emission constraints.,Resource Conflict,Constraint(The vehicle should b → The engine design sh)
"The vehicle should be affordable with a base price under $1,500.",The braking system should use ABS for enhanced safety.,Compliance Conflict,Constraint(The vehicle should b → The braking system s)
The engine must comply with strict noise restrictions.,The engine should have a fuel injection system for optimized combustion.,No Conflict,Constraint(The engine must comp → The engine should ha)
The two-wheeler should have a maximum curb weight of 120 kg.,The seat should be made of premium leather for comfort.,Contradiction,Constraint(The two-wheeler shou → The seat should be m)
The vehicle must meet Euro 6 emission standards.,The battery should use standard charging methods to maintain longevity.,Regulatory Conflict,Constraint(The vehicle must mee → The battery should u)
The bike should have a storage compartment for a full-size helmet.,The wheels should be spoked to maintain classic aesthetics.,Material Conflict,Constraint(The bike should have → The wheels should be)
The vehicle should incorporate modular components for easy customization.,The vehicle must include a high-capacity battery for extended electric range.,Cost Conflict,Constraint(The vehicle should i → The vehicle must inc)
The vehicle should be fully electric.,The wheels should be spoked to maintain classic aesthetics.,Material Conflict,Constraint(The vehicle should b → The wheels should be)
